,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta0,param_learning_rate,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,1.1444390296936036,0.3517042668530815,0.014523506164550781,0.001180150330470421,0.05,optimal,elasticnet,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6676412673787219,0.3413357526694117,0.04264099037138927,0.6614289480622199,0.044837656760006867,0.3515769230483499,0.2776833508566939,45
18,0.6302309036254883,0.11042240063993392,0.015264463424682618,0.0009748035031529885,0.05,invscaling,l2,"{'eta0': 0.05, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.6771725427118201,0.6667262703024885,0.19051386241864146,0.029836338905708394,0.37957194047196313,0.38876419096212433,0.2563822100414537,41
19,0.9320048809051513,0.14314597005246438,0.015508890151977539,0.0038805486087145386,0.05,invscaling,l1,"{'eta0': 0.05, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.7072984008166043,0.6666666666666666,0.03398864132809087,0.6674637572859066,0.05064480314288154,0.42521245384802997,0.3130224620757384,35
20,0.8910070419311523,0.1197613847738322,0.01611151695251465,0.00466000858367696,0.05,invscaling,elasticnet,"{'eta0': 0.05, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.054852502915388936,0.6668354656618163,0.6680005602352989,0.6650182432228687,0.41699560347870734,0.4943404751028161,0.24007296987815174,29
21,2.4256820678710938,0.33681091885537695,0.017260360717773437,0.00043237361231942737,0.05,adaptive,l2,"{'eta0': 0.05, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.7103427358204428,0.7003950292157024,0.6877028957278275,0.6956485873375954,0.6948527817527428,0.6977884059708621,0.007474221202349518,2
22,2.974589395523071,0.3038740147609822,0.018551015853881837,0.00227989858094137,0.05,adaptive,l1,"{'eta0': 0.05, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.7007279947054931,0.6850096992129144,0.6825457231761097,0.6858191790516631,0.6930004809163642,0.6894206154125089,0.006638718736989378,13
23,3.394253063201904,0.439669522060493,0.018230628967285157,0.002610278692180354,0.05,adaptive,elasticnet,"{'eta0': 0.05, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.704679681292013,0.6970701476250284,0.6833503575076609,0.6935459798298543,0.7103731738086518,0.6978038680126417,0.009304151543781964,1
24,0.4079909324645996,0.13177904888999678,0.016991567611694337,0.002210002179860031,0.01,constant,l2,"{'eta0': 0.01, 'learning_rate': 'constant', 'penalty': 'l2'}",0.6674537113140159,0.10103702469701388,0.6600025187330772,0.05168069021483791,0.18004322766570605,0.33204343452493024,0.2739081989843655,53
25,0.45375838279724123,0.19655060344240244,0.01762499809265137,0.0022214638107670615,0.01,constant,l1,"{'eta0': 0.01, 'learning_rate': 'constant', 'penalty': 'l1'}",0.6665366731663416,0.6600597423610679,0.6671935108698892,0.09612114341242205,0.6721256684491979,0.5524073476517837,0.2281753627406351,25
26,0.5764941215515137,0.1645687920614689,0.014889860153198242,0.00042695943228672435,0.01,constant,elasticnet,"{'eta0': 0.01, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.666776080210074,0.1229913726131578,0.11920994195332892,0.028153104227310245,0.13117153200338905,0.213660406201452,0.2296401320906249,67
27,0.628154993057251,0.0735520868236337,0.015599298477172851,0.0010478696821206296,0.01,optimal,l2,"{'eta0': 0.01, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.6955727978092195,0.6667163089937005,0.039185088859991335,0.03822203135065493,0.08691366138174648,0.30532197767906255,0.30749796190068507,56
28,0.8707999229431153,0.0867016157421545,0.017988967895507812,0.002232122147758881,0.01,optimal,l1,"{'eta0': 0.01, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6992184798395463,0.667293569765359,0.44220057978567473,0.6683119447186575,0.38654601331739796,0.5727141174853271,0.13098085172446514,19
29,1.1364773750305175,0.3566493722912699,0.015920400619506836,0.0027529479633091637,0.01,optimal,elasticnet,"{'eta0': 0.01, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6676412673787219,0.3413357526694117,0.04264099037138927,0.6614289480622199,0.044837656760006867,0.3515769230483499,0.2776833508566939,45
30,0.6005558013916016,0.0850666039607362,0.015091848373413087,0.001085307742353235,0.01,invscaling,l2,"{'eta0': 0.01, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.6841651304774308,0.6619898549160487,0.10989535670234353,0.04183378617328676,0.6684606778943548,0.4332689612326929,0.2927009610219944,33
31,0.729305362701416,0.11962707154001914,0.014494371414184571,0.0008388409103174728,0.01,invscaling,l1,"{'eta0': 0.01, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.07678868197894916,0.6751251954632727,0.09461928934010153,0.13477993858751278,0.6494630623958525,0.32615523355313775,0.2752181173310928,54
32,0.7828105449676513,0.18174459329012174,0.016533613204956055,0.002120884892048247,0.01,invscaling,elasticnet,"{'eta0': 0.01, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.6772124188605259,0.6667758895458809,0.042595386936839834,0.07209133279172189,0.6672340933864923,0.4251818243042921,0.30050680231045535,36
33,2.3734277725219726,0.2470863143238899,0.017583799362182618,0.0013515539856203277,0.01,adaptive,l2,"{'eta0': 0.01, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.7090622702929749,0.703236378533388,0.6834954013653225,0.6956614706951484,0.6773927770403259,0.6937696595854319,0.011839124317588537,5
34,2.6679126262664794,0.3432624694985602,0.018324995040893556,0.0029441685024704125,0.01,adaptive,l1,"{'eta0': 0.01, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.7032182743353085,0.6886393659180977,0.6831731843575418,0.6873285190631927,0.6897603678486162,0.6904239423045514,0.006774586509893879,12
35,2.877977657318115,0.395339791988167,0.01670064926147461,0.000857570631763352,0.01,adaptive,elasticnet,"{'eta0': 0.01, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.713066019297632,0.7023160906241454,0.6906068890103881,0.6839801706042606,0.6895819038976562,0.6959102146868165,0.010448498560607849,4
36,0.29419517517089844,0.0583732507590346,0.015506267547607422,0.0004727626046395613,0.1,constant,l2,"{'eta0': 0.1, 'learning_rate': 'constant', 'penalty': 'l2'}",0.6669953682952339,0.0025834038572892077,0.02814698983580922,0.19949530351885603,0.23206779661016952,0.22585777242347155,0.2384436704417703,66
37,0.36807785034179685,0.07431943143288731,0.015331172943115234,0.0007667857253752,0.1,constant,l1,"{'eta0': 0.1, 'learning_rate': 'constant', 'penalty': 'l1'}",0.6671146551981602,0.05756866084734938,0.6414944189650479,0.6666765936536772,0.6721256684491979,0.5409959994226865,0.24194976388185047,26
38,0.3472867012023926,0.0654213974350401,0.01385354995727539,0.000743336320876904,0.1,constant,elasticnet,"{'eta0': 0.1, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.666855811730976,0.0027626771232510472,0.021561695255554097,0.07611269906084116,0.03423066999225939,0.16030471063257634,0.2544193755192535,69
39,0.6301639080047607,0.07609016599861088,0.01512150764465332,0.0011013975493552527,0.1,optimal,l2,"{'eta0': 0.1, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.6955727978092195,0.6667163089937005,0.039185088859991335,0.03822203135065493,0.08691366138174648,0.30532197767906255,0.30749796190068507,56
40,0.8865603923797607,0.05486120945528117,0.01633305549621582,0.00126877869561912,0.1,optimal,l1,"{'eta0': 0.1, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6992184798395463,0.667293569765359,0.44220057978567473,0.6683119447186575,0.38654601331739796,0.5727141174853271,0.13098085172446514,19
41,1.1735549449920655,0.3962146212267591,0.01648821830749512,0.001493506652931118,0.1,optimal,elasticnet,"{'eta0': 0.1, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6676412673787219,0.3413357526694117,0.04264099037138927,0.6614289480622199,0.044837656760006867,0.3515769230483499,0.2776833508566939,45
42,0.6765349388122559,0.06902632078059041,0.014879989624023437,0.0007643092256854578,0.1,invscaling,l2,"{'eta0': 0.1, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.039429970274523524,0.6668355033817002,0.6540441114429876,0.0421070796841969,0.6686550727297758,0.41421434750263675,0.30495999570469556,39
43,0.856328010559082,0.1984987156017868,0.015316152572631836,0.003469047016978353,0.1,invscaling,l1,"{'eta0': 0.1, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.0491270632066889,0.6664779499404052,0.4812510509500589,0.6611785776004272,0.17959118746520322,0.4075251658325567,0.25188695968439384,40
44,0.8135532855987548,0.15822400519734162,0.014483976364135741,0.0010293494833891958,0.1,invscaling,elasticnet,"{'eta0': 0.1, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.040515171359965074,0.6535426204490953,0.1827727289184981,0.6604897418927862,0.6665375504670531,0.4407715626174795,0.2725019117573517,32
45,2.704380750656128,0.17224667462297216,0.01754598617553711,0.0004964201263261743,0.1,adaptive,l2,"{'eta0': 0.1, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.6985322876139896,0.6883342763144109,0.6823435296099031,0.687388535031847,0.6959600770297973,0.6905117411199896,0.005919948965499112,11
46,3.335732412338257,0.3487696482459907,0.018746471405029295,0.0031510732357878006,0.1,adaptive,l1,"{'eta0': 0.1, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.703504991424425,0.6904662643993417,0.6855304039059033,0.6848979773480786,0.6896781798367546,0.6908155633829007,0.006713984961389189,8
47,3.5574737548828126,0.19638047236597242,0.01727571487426758,0.0014550639870796042,0.1,adaptive,elasticnet,"{'eta0': 0.1, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.7013941960136322,0.6928660306926586,0.6926900280752833,0.6919091942888431,0.7018320833942636,0.6961383064929361,0.0044839106380344645,3
