,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37,0.13081979751586914,0.005645003720267058,0.018630838394165038,0.0004866973558743747,entropy,7,2,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.610336029531513,0.6651112069184144,0.6522239357665663,0.6437791079420316,0.033918652765461396,41
38,0.8247063636779786,0.004470777525073983,0.017985725402832033,0.00078714816759492,entropy,7,3,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.7753186754710591,0.8257357054940136,0.8347419528861716,0.8324998318046243,0.8336841162509515,0.8203960563813639,0.022756804624112097,22
39,0.1312021255493164,0.0046380832653161045,0.018606090545654298,0.0005142498211786107,entropy,7,3,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.610336029531513,0.6649238578680203,0.6522239357665663,0.6437416381319528,0.033895161925799326,42
40,0.8745115756988525,0.0722094875894368,0.018418073654174805,0.00039138589453209467,entropy,7,4,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'best'}",0.7753186754710591,0.8257357054940136,0.8347419528861716,0.8324998318046243,0.8336841162509515,0.8203960563813639,0.022756804624112097,22
41,0.12974209785461427,0.006122615174656947,0.018439435958862306,0.000396357521032521,entropy,7,4,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.6133779806108395,0.6649238578680203,0.6522239357665663,0.6443500283478181,0.033312389072837935,40
42,0.6267987728118897,0.0067660849663729915,0.017464399337768555,0.00042944323504050626,entropy,5,2,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
43,0.09554834365844726,0.001521369136305176,0.017632246017456055,0.000545485598819769,entropy,5,2,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
44,0.6226338386535645,0.006895425759716823,0.017407941818237304,0.0003774098602337049,entropy,5,3,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
45,0.09577689170837403,0.0031462221460997887,0.01759819984436035,0.0005321566220728007,entropy,5,3,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
46,0.637734842300415,0.008114179488159323,0.017842674255371095,0.0007934471534380084,entropy,5,4,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
47,0.0952150821685791,0.0012581290994382632,0.017595338821411132,0.000496861010264036,entropy,5,4,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
